FLOOR,BEDROOM,BATHROOM,parking_missing,price_in_crore,Land_in_aana,LAND_squared,City,road_access_in_feet,facing,AGE,car_parking,bike_parking
3.0,5.0,4.0,0,2.9,4.0,16.0,lalitpur,12.0,west,6,1,2
4.5,5.0,6.0,0,4.75,3.0,9.0,lalitpur,10.0,west,6,2,2
2.5,4.0,4.0,0,1.99,2.3,5.289999999999999,lalitpur,10.0,west,22,1,3
2.5,4.0,3.0,0,4.0,7.0,49.0,lalitpur,12.0,north-west,23,4,4
2.0,4.0,4.0,0,1.2,6.0,36.0,kathmandu,20.0,south,11,4,5
2.5,6.0,5.0,0,2.7,6.0,36.0,lalitpur,12.0,south-east,6,4,5
2.5,4.0,3.0,0,3.3,3.2,10.240000000000002,lalitpur,13.0,north-west,8,4,5
2.5,5.0,4.0,0,4.0,4.3,18.49,kathmandu,14.0,north-east,17,1,2
5.5,13.0,5.0,0,4.5,2.2,4.840000000000001,kathmandu,10.0,west,16,1,3
3.0,5.0,5.0,0,3.0,5.0,25.0,lalitpur,12.0,east,7,2,2
3.0,6.0,5.0,1,4.99,5.2,27.040000000000003,lalitpur,13.0,north-east,3,0,0
2.5,4.0,2.0,0,2.45,3.0,9.0,kathmandu,16.0,south,12,0,2
4.0,4.0,5.0,0,2.5,4.0,16.0,kathmandu,13.0,south-east,4,0,3
2.5,4.0,4.0,1,4.25,4.0,16.0,lalitpur,20.0,south-east,4,0,0
2.5,4.0,5.0,0,6.5,6.2,38.440000000000005,lalitpur,12.0,south-east,5,3,0
2.5,4.0,5.0,0,3.6,4.2,17.64,lalitpur,13.0,south-west,5,1,2
3.5,6.0,6.0,0,5.8,5.0,25.0,lalitpur,14.0,north-west,4,1,1
3.5,5.0,7.0,0,2.5,3.2,10.240000000000002,lalitpur,12.0,south-east,4,3,3
3.0,4.0,4.0,0,4.8,5.2,27.040000000000003,lalitpur,16.0,south-east,5,2,2
3.0,4.0,5.0,0,6.65,4.1,16.81,kathmandu,20.0,north,5,2,3
2.5,5.0,5.0,0,13.3,9.6,92.16,kathmandu,14.0,north-east,5,2,3
3.5,5.0,7.0,0,8.5,7.0,49.0,lalitpur,12.0,east,4,3,3
2.5,4.0,5.0,0,5.5,5.0,25.0,lalitpur,12.0,north-east,4,2,2
2.5,4.0,4.0,0,4.75,3.1,9.610000000000001,lalitpur,20.0,south,7,1,1
3.0,5.0,4.0,0,2.95,3.2,10.240000000000002,lalitpur,13.0,south,7,1,3
2.5,5.0,3.0,1,6.35,5.0,25.0,lalitpur,10.0,north-west,4,0,0
2.5,5.0,6.0,0,8.5,7.0,49.0,lalitpur,13.0,west,7,3,2
2.5,4.0,4.0,1,10.5,11.0,121.0,kathmandu,12.0,south,4,0,0
2.5,4.0,4.0,0,6.4,7.0,49.0,lalitpur,26.0,east,7,3,0
2.5,3.0,4.0,1,3.5,4.0,16.0,lalitpur,20.0,north,2,0,0
2.5,6.0,5.0,0,2.2,3.0,9.0,kathmandu,16.0,south,4,1,2
2.5,4.0,4.0,1,3.75,3.0,9.0,lalitpur,16.0,south,4,0,0
2.0,5.0,4.0,0,8.0,6.0,36.0,lalitpur,20.0,south,4,0,3
3.5,6.0,7.0,1,5.5,4.2,17.64,lalitpur,13.0,south-east,5,0,0
2.5,4.0,4.0,0,5.5,3.3,10.889999999999999,lalitpur,13.0,south-west,7,1,5
2.5,5.0,5.0,1,7.75,9.0,81.0,lalitpur,20.0,south-west,4,0,0
2.5,7.0,7.0,1,16.0,12.0,144.0,kathmandu,13.0,north,8,0,0
2.5,5.0,3.0,1,3.19,4.1,16.81,lalitpur,13.0,south,4,0,0
2.5,4.0,3.0,0,2.5,3.0,9.0,kathmandu,13.0,west,8,2,5
2.5,4.0,4.0,0,12.0,11.0,121.0,kaski,20.0,west,2,0,2
2.5,5.0,6.0,0,6.25,6.4,40.96000000000001,lalitpur,13.0,north-west,4,2,3
2.5,7.0,7.0,0,16.0,12.0,144.0,kathmandu,12.0,north,4,1,0
2.5,4.0,4.0,0,2.8,2.2,4.840000000000001,lalitpur,12.0,north,4,1,2
2.5,5.0,5.0,0,5.99,7.0,49.0,lalitpur,20.0,east,4,1,0
2.5,6.0,4.0,0,4.8,5.0,25.0,lalitpur,25.0,south,4,2,2
3.0,5.0,3.0,0,2.5,3.1,9.610000000000001,lalitpur,13.0,north,6,1,0
2.5,4.0,2.0,0,3.35,5.0,25.0,lalitpur,19.0,west,6,1,2
2.5,4.0,3.0,0,3.5,5.0,25.0,lalitpur,19.0,north-west,7,1,2
2.5,4.0,5.0,0,4.0,4.0,16.0,lalitpur,18.0,north-east,6,1,0
2.5,5.0,3.0,0,6.0,7.0,49.0,lalitpur,13.0,east,6,2,3
2.5,4.0,4.0,0,2.5,3.5,12.25,lalitpur,12.0,west,11,1,3
2.0,5.0,4.0,0,2.7,3.3,10.889999999999999,lalitpur,12.0,east,4,3,3
2.5,5.0,4.0,0,2.75,3.0,9.0,lalitpur,12.0,north,8,1,0
2.5,5.0,5.0,0,11.0,11.0,121.0,kathmandu,16.0,south-east,5,4,4
2.5,6.0,4.0,0,3.25,3.3,10.889999999999999,lalitpur,15.0,north-east,5,1,0
2.0,5.0,4.0,0,2.8,3.1,9.610000000000001,lalitpur,13.0,south-west,4,1,2
3.0,6.0,4.0,0,3.1,3.2,10.240000000000002,lalitpur,12.0,west,4,2,2
2.5,4.0,4.0,1,4.0,5.0,25.0,kathmandu,13.0,south,5,0,0
2.5,3.0,3.0,0,3.5,6.0,36.0,kathmandu,15.0,north,7,0,3
2.0,6.0,5.0,0,3.15,5.2,27.040000000000003,lalitpur,20.0,east,4,1,2
2.5,6.0,6.0,0,2.9,3.2,10.240000000000002,lalitpur,13.0,south,5,1,2
3.0,5.0,4.0,0,4.25,4.2,17.64,lalitpur,20.0,east,4,2,2
2.0,4.0,4.0,0,4.65,4.0,16.0,lalitpur,12.0,south-east,8,2,2
2.5,5.0,4.0,0,4.0,4.0,16.0,lalitpur,20.0,north,2,2,1
3.0,6.0,5.0,0,5.95,5.0,25.0,lalitpur,16.0,north-east,4,2,1
2.5,4.0,4.0,0,3.9,5.0,25.0,lalitpur,13.0,east,4,2,0
3.0,8.0,3.0,0,3.2,4.0,16.0,lalitpur,13.0,east,4,1,2
3.0,8.0,3.0,0,3.25,4.0,16.0,lalitpur,13.0,east,5,1,2
